,Date,Item,Issue,Nb_affected_models,Category,Published by,Recall type,Audience,Year,Month,Recall Category
232,2022-04-08,Accidental ingestion of illegal “copycat” edible cannabis products causing serious harm to children,Unauthorized Products/Device,15.0,Cannabis/Vaping/Tobacco products,Consumer product - Cannabis,public advisory,General Public,2022,April,Consumer product
233,2022-04-07,Stokke® Clikk™ High Chair in White recalled due to fall hazard,Fall Hazard,6.0,Household Items,Health Canada,consumer product recall,General Public,2022,April,Consumer product
234,2022-04-07,Bestar Wall Beds recalled due to Tip-Over and Entrapment Hazards,Entrapment Hazard,24.0,Household Items,Health Canada,consumer product recall,General Public,2022,April,Consumer product
235,2022-04-07,Celebright Inc. Lighting System recalled due to lack of Canadian Electrical Certification,Electrical Hazard,1.0,Electronics,Health Canada,consumer product recall,General Public,2022,April,Consumer product
236,2022-04-06,AOSKERA Children’s Nightgowns recalled due to Flammability Hazard,Flammability Hazard,7.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,April,Consumer product
237,2022-04-05,Health Canada warns Canadians that a Vertbaudet children’s bathrobe poses a flammability hazard,Flammability Hazard,2.0,Other,Health Canada,public advisory,General Public,2022,April,Consumer product
238,2022-03-31,Kid O Hudson Glow Rattle recalled due to potential choking hazard ,Other,5.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,March,Consumer product
239,2022-03-30,"OLAIAN, Kids' surf ponchos recalled due to flammability hazard",Flammability Hazard,6.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,March,Consumer product
240,2022-03-30,Paw Patrol Plastic Drinking bottle recalled due to choking hazard ,Choking Hazard,7.0,Household Items,Health Canada,consumer product recall,General Public,2022,March,Consumer product
241,2022-03-29,Mellow Walk Quentin Safety Shoes Recalled due to Injury Hazard ,Injury Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,March,Consumer product
242,2022-03-25,"Yardworks 15-Amp Electric Corded Snowblower, 22-in recalled due to Electric Shock Hazard ",Electrical Hazard,3.0,Tools And Accessories,Health Canada,consumer product recall,General Public,2022,March,Consumer product
243,2022-03-25,Prepworks by Progressive Nut Chopper recalled due to potential injury hazard ,Injury Hazard,3.0,Household Items,Health Canada,consumer product recall,General Public,2022,March,Consumer product
244,2022-03-24,Dimensions Bluetooth Speaker Helmets recalled due to impact hazard,Impact Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,March,Consumer product
245,2022-03-22,Wondertoys 27 pcs Wooden Magnetic Alphabet Train Set recalled due to presence of superglue lacking a child-resistant closure in the set,Chemical Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,March,Consumer product
246,2022-03-21,Urban Kids Plush All-Over Print Robes recalled due to Flammability Hazard ,Flammability Hazard,29.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,March,Consumer product
247,2022-03-17,KIPRUN GPS 550 wrist watch recalled due to burn and fire hazard ,Fire Hazard,3.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,March,Consumer product
248,2022-03-16,B. toys Wooden Activity Toddler Walker recalled due to choking hazard,Choking Hazard,5.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,March,Consumer product
249,2022-03-16,RH Illuminated Mirrors recalled due to potential fire and shock hazard,Electrical Hazard,4.0,Household Items,Health Canada,consumer product recall,General Public,2022,March,Consumer product
250,2022-03-09,Crate and Kids Be the Band Music set recalled due to choking hazard ,Choking Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,March,Consumer product
251,2022-03-09,Giant Value Drain Opener recalled due to potential leakage and corrosive hazard ,Chemical Hazard,2.0,Chemicals,Health Canada,consumer product recall,General Public,2022,March,Consumer product
252,2022-03-04,Bioderma Sensibio H2O Micellar water makeup remover recalled due to microbial contamination,Microbial Hazard,2.0,Beauty And Personal Care,Health Canada,consumer product recall,General Public,2022,March,Consumer product
253,2022-03-04,Truro Cannabis Inc. recalls one lot of Truro CBD 3:2 510 Vape Cartridge cannabis extract ,Labelling And Packaging,2.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2022,March,Consumer product
254,2022-03-02,Petzl PIRANA descenders recalled due to drowning hazard,Drowning Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,March,Consumer product
255,2022-03-02,Ionic smartwatch recalled due to burn hazard ,Burn Hazard,5.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,March,Consumer product
256,2022-03-02,Savaria and Garaventa branded Residential Elevators recalled due to Entrapment Hazard ,Entrapment Hazard,9.0,Household Items,Health Canada,consumer product recall,General Public,2022,March,Consumer product
257,2022-02-23,Wooden teether rings recalled due to potential choking hazard ,Choking Hazard,17.0,Other,Health Canada,consumer product recall,General Public,2022,February,Consumer product
258,2022-02-21,Brut Classic Aerosol Spray Deodorant recalled due to Potential Presence of Benzene,Chemical Hazard,1.0,Beauty And Personal Care,Health Canada,consumer product recall,General Public,2022,February,Consumer product
259,2022-02-17,Lovevery Drinking Cup with handle in “The Inspector” Play Kits recalled due to potential choking hazard ,Choking Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2022,February,Consumer product
260,2022-02-16,Anecdote Autumn Glass Double Wick Candles recalled due to Fire and Laceration Hazards ,Fire Hazard,5.0,Household Items,Health Canada,consumer product recall,General Public,2022,February,Consumer product
261,2022-02-09,Scorpio Eashook Via Ferrata Lanyard recalled due to fall hazard,Fall Hazard,2.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,February,Consumer product
262,2022-02-09,Stance Kids Reiny Szn Mid-Cushion Crew Socks recalled due to potential choking hazard,Choking Hazard,3.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,February,Consumer product
263,2022-02-07,Fairechild Mabli Smock AW21 Raincoat recalled due to strangulation hazard ,Strangulation Hazard,2.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,February,Consumer product
264,2022-02-07,Childrensalon Ltd Children’s Sleepwear recalled due to flammability hazard ,Flammability Hazard,6.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,February,Consumer product
265,2022-02-03,Yummi Candles Brand Oil Cartridge Candles and LiquidGlow™ Refillable Lamp Oil (4 L) recalled due to lack of child-resistant packaging and hazard labelling,Labelling And Packaging,9.0,Chemicals,Health Canada,consumer product recall,Healthcare Professionals,2022,February,Consumer product
266,2022-02-03,Various Menorahs recalled due to Fire Hazard ,Fire Hazard,5.0,Household Items,Health Canada,consumer product recall,General Public,2022,February,Consumer product
267,2022-02-03,Joe Boxer Children’s Fleece Robe recalled due to Flammability Hazard ,Flammability Hazard,6.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,February,Consumer product
268,2022-02-03,Harbor Breeze Belleisle Bay 52-inch Ceiling Fan Recalled due to Impact Injury Hazard ,Impact Hazard,5.0,Household Items,Health Canada,consumer product recall,General Public,2022,February,Consumer product
269,2022-02-02,Hestia Canada Table Top Fire Pit Bowl recalled due to lack of appropriate labelling and hazard information,Burn Hazard,2.0,Chemicals,Health Canada,consumer product recall,General Public,2022,February,Consumer product
270,2022-01-28,Matrix T1 and T3 Treadmills recalled due to fire hazard,Fire Hazard,4.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,January,Consumer product
271,2022-01-27,Expanded Recall: Mastercraft 5 Gallon Air Compressor and MotoMaster 5 Gallon Twin-Stack Air Compressor recalled due to injury hazard,Injury Hazard,4.0,Tools And Accessories,Health Canada,consumer product recall,General Public,2022,January,Consumer product
272,2022-01-27,Hoppetta 2-Way Gauze Sleep Bag recalled due to Flammability Hazard ,Flammability Hazard,6.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,January,Consumer product
273,2022-01-24,Carrément Beau Raincoat recalled due to entanglement and vehicular dragging hazard ,Entanglement Hazard,3.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,January,Consumer product
274,2022-01-21,Dyna-One Energy Absorber Lanyard recalled by manufacturer due to injury hazard ,Injury Hazard,8.0,Other,Health Canada,consumer product recall,General Public,2022,January,Consumer product
275,2022-01-20,FRIGG Classic and Daisy Silicone Pacifiers recalled due to Choking Hazard ,Choking Hazard,2.0,Other,Health Canada,consumer product recall,General Public,2022,January,Consumer product
276,2022-01-19,KidORCA Hard Shell Rain Jacket recalled due to entanglement and vehicular dragging hazard ,Entanglement Hazard,9.0,Other,Health Canada,consumer product recall,General Public,2022,January,Consumer product
277,2022-01-19,Kattnakken Junior Rain Jacket recalled due to strangulation hazard ,Strangulation Hazard,7.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2022,January,Consumer product
278,2022-01-19,Lichtenberg generators pose life-threatening danger to users,Electrical Hazard,1.0,Hobby And Craft Items,Health Canada,public advisory,Healthcare Professionals,2022,January,Consumer product
279,2022-01-12,Qualipièces brand Rollerski® recalled due to injury hazard ,Injury Hazard,5.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2022,January,Consumer product
280,2022-01-07,DEWALT ® Jobsite Pro Wireless Earphones recalled due to burn and fire hazard,Burn Hazard,2.0,Electronics,Health Canada,consumer product recall,General Public,2022,January,Consumer product
281,2022-01-06,Equate Dry Mouth Oral Rinse recalled due to microbial contamination ,Microbial Hazard,1.0,Beauty And Personal Care,Health Canada,consumer product recall,General Public,2022,January,Consumer product
282,2021-12-29,American Angler Electric Fillet Knife recalled due to laceration hazard ,Laceration Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,December,Consumer product
283,2021-12-29,Danby brand free-standing and slide-in electric ranges recalled due to tip-over hazard,Burn Hazard,2.0,Appliances,Health Canada,consumer product recall,General Public,2021,December,Consumer product
284,2021-12-24,Mini Rodini Winter Jacket Panda Puffer recalled due to entanglement and vehicular dragging hazard,Entanglement Hazard,2.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
285,2021-12-24,Kids Green Board Hooded Rain Coat and Brown Board Zip-Up Hoodie recalled due to strangulation hazard,Strangulation Hazard,2.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
286,2021-12-24,Nununu Tie Dye Hoodie recalled due to strangulation hazard ,Strangulation Hazard,2.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
287,2021-12-22,Bathrobes for children by Boutique Québec Jouet recalled due to flammability hazard ,Flammability Hazard,2.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
288,2021-12-21,L&P Apparel Inc. Girls Mid-Season City Jacket recalled due to entanglement and vehicular dragging hazard,Entanglement Hazard,3.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
289,2021-12-21,Urban Kids Plush Critter Robes recalled due to Flammability Hazard ,Flammability Hazard,21.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
290,2021-12-21,Lawnmaster 60V 19-inch mower recalled due to an injury hazard,Injury Hazard,1.0,Other,Health Canada,consumer product recall,General Public,2021,December,Consumer product
291,2021-12-21,Louise Misha Manoukia Raincoat recalled due to strangulation hazard ,Strangulation Hazard,3.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
292,2021-12-21,The New Society Lotus Kangaroo Hoodie recalled due to entanglement and vehicular dragging hazard ,Entanglement Hazard,3.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
293,2021-12-21,Raspberry Republic and Jelly Alligator Hoodies recalled due to strangulation hazard,Strangulation Hazard,7.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
294,2021-12-20,Urban Kids Girls Funzietime Character Hoodies recalled due to entanglement and dragging hazard,Entanglement Hazard,25.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
295,2021-12-20,KOYO Bounca the Squig Limited Edition Plush recalled due to choking hazard,Choking Hazard,3.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,December,Consumer product
296,2021-12-20,Herbal Essences and Pantene Aerosol Dry Conditioner Spray products and Aerosol Dry Shampoo Spray products Recalled Due to Detection of Benzene,Chemical Hazard,9.0,Beauty And Personal Care,Health Canada,consumer product recall,General Public,2021,December,Consumer product
297,2021-12-16,Il Gufo Children's Giacca Primavera Windbreaker Jacket recalled due to entanglement hazard  ,Entanglement Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
298,2021-12-16,Lightform LED Projectors recalled due to Fire Hazard,Fire Hazard,1.0,Electronics,Health Canada,consumer product recall,General Public,2021,December,Consumer product
299,2021-12-16,H&M Girl’s Hair Clip with LED Light recalled due to choking hazard ,Choking Hazard,2.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
300,2021-12-15,Douglas Cuddle Toys Canada recalls Douglas plush toys due to choking hazard,Choking Hazard,3.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,December,Consumer product
301,2021-12-15,Emblem Cannabis Corporation recalls six lots of Noon & Night Freshly Minted topical cannabis,Labelling And Packaging,7.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2021,December,Consumer product
302,2021-12-15,Various children’s upper outerwear with drawstrings recalled due to strangulation hazard ,Strangulation Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
303,2021-12-15,Gingras Twin Over Twin full Bunk Bed recalled due to Entrapment Hazard ,Entrapment Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,December,Consumer product
304,2021-12-15,Moon Paris – Various Pyjama Sets recalled due to Flammability Hazard,Flammability Hazard,6.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
305,2021-12-15,Various Mylands branded chemical products recalled due to lack of bilingual labelling and hazard information,Burn Hazard,9.0,Chemicals,Health Canada,consumer product recall,General Public,2021,December,Consumer product
306,2021-12-15,H&M Girls ribbed pyjamas recalled due to flammability hazard,Flammability Hazard,2.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
307,2021-12-14,NXT/GEN Fleece Hooded Popover Sweatshirt with kangaroo patch pocket recalled due to strangulation hazard ,Strangulation Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
308,2021-12-14,Happiness is...Youth Unisex Crest Hoodie recalled due to strangulation hazard ,Strangulation Hazard,2.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
309,2021-12-13,Hot Paws Winter Jackets recalled due to strangulation hazard ,Strangulation Hazard,10.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
310,2021-12-10,Signature Series Orange Degreaser recalled due to lack of child-resistant packaging and hazard labelling,Labelling And Packaging,2.0,Chemicals,Health Canada,consumer product recall,General Public,2021,December,Consumer product
311,2021-12-09,Husqvarna® branded Automower 435X AWD and Automower 535 AWD robotic lawnmowers recalled due to Fire Hazard ,Fire Hazard,4.0,Outdoor Living,Health Canada,consumer product recall,General Public,2021,December,Consumer product
312,2021-12-08,"GE, Moffat, GE Profile, Insignia, and Haier brand free-standing and slide-in gas and electric ranges recalled due to tip-over hazard",Injury Hazard,53.0,Household Items,Health Canada,consumer product recall,General Public,2021,December,Consumer product
313,2021-12-08,Carex Bed Support Rail Recalled due to Entrapment and Asphyxiation Hazard,Entrapment Hazard,2.0,Specialized Products,Health Canada,consumer product recall,General Public,2021,December,Consumer product
314,2021-12-07,SHEIN Toddler Girl Ruffle Trim Double Breasted Polyurethane Trench Coat recalled due to lead in excess of allowable limit,Chemical Hazard,1.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
315,2021-12-06,Home Bed Assist Handles recalled due to potential entrapment hazard,Entrapment Hazard,6.0,Household Items,Health Canada,consumer product recall,General Public,2021,December,Consumer product
316,2021-12-03,Agro-Greens Natural Products Ltd. recalls one lot of Shelter Craft Organic White Chocolate Diamonds dried cannabis,Microbial Contamination/Contamination,2.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2021,December,Consumer product
317,2021-12-02,Watco Children’s Bathrobe recalled due to flammability hazard,Flammability Hazard,1.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
318,2021-12-01,Petit Bateau Snugfit short pyjamas recalled due to flammability hazard,Flammability Hazard,9.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,December,Consumer product
319,2021-11-29,Konges Sløjd knit mittens and knit boots recalled due to potential choking and suffocation hazard,Choking Hazard,6.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,November,Consumer product
320,2021-11-29,myCharge Razor Xtreme PD powerbank recalled due to a fire hazard,Fire Hazard,4.0,Electronics,Health Canada,consumer product recall,General Public,2021,November,Consumer product
321,2021-11-29,Rylee + Cru Organic Girls Bedtime Sets recalled due to Flammability Hazard,Flammability Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,November,Consumer product
322,2021-11-26,Old Spice and Secret Aerosol Spray Antiperspirant Products Recalled Due To Detection of Benzene ,Chemical Hazard,9.0,Beauty And Personal Care,Health Canada,consumer product recall,General Public,2021,November,Consumer product
323,2021-11-25,Various housecoats and robes recalled due to flammability hazard,Flammability Hazard,4.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,November,Consumer product
324,2021-11-25,Cocoon muslin children’s bathrobe (Little Barine) recalled due to flammability hazard,Flammability Hazard,9.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,November,Consumer product
325,2021-11-25,Crinar Chairs recalled due to fall hazard,Fall Hazard,5.0,Other,Health Canada,consumer product recall,General Public,2021,November,Consumer product
326,2021-11-25,"ZIGZAG, ZIGZAG PLUS and ZILLON Recalled due to Possible Slippage and Fall Hazard",Fall Hazard,2.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2021,November,Consumer product
327,2021-11-25,GLW Battery Packs used in Hovertax 2.0 Self-Balancing Scooters/Hoverboards recalled due to fire hazard,Other,15.0,Electronics,Distributor   Razor USA LLCCerritosCaliforniaUNITED STATESManufacturer         Gallopwire Enterprise Co. Ltd. (Kunshan)KushanJiangsuCHINA,consumer product recall,General Public,2021,November,Consumer product
328,2021-11-23,Zoom 360 Ultralight Jogging Strollers recalled due to Fall Hazard,Fall Hazard,5.0,Other,Health Canada,consumer product recall,General Public,2021,November,Consumer product
329,2021-11-22,Mise en Scène Easy & Speedy Foam hair colouring products recalled due to lack of appropriate labelling and hazard information,Labelling And Packaging,1.0,Other,Health Canada,consumer product recall,General Public,2021,November,Consumer product
330,2021-11-19,56100 Tactec Plate Carriers recalled due to Injury Hazard ,Injury Hazard,3.0,Specialized Products,Health Canada,consumer product recall,General Public,2021,November,Consumer product
331,2021-11-18,Goodman Recalls Evaporator Coil Drain Pans due to Fire Hazard,Fire Hazard,10.0,Appliances,Health Canada,consumer product recall,General Public,2021,November,Consumer product
332,2021-11-15,Button batteries pose life-threatening dangers to young children,Physical Hazard,1.0,Electronics,Consumer product - Household items,public advisory,General Public,2021,November,Consumer product
333,2021-11-12,Lambeth Outdoor Metal Torches recalled due to Potential Fire Hazard ,Fire Hazard,17.0,Outdoor Living,Health Canada,consumer product recall,General Public,2021,November,Consumer product
334,2021-11-12,Hanna Andersson Baby Long Sleeved Wiggle Set (Style 66938) and Baby Ruffle Romper (Style 66919) recalled due to choking hazard,Choking Hazard,7.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,November,Consumer product
335,2021-11-05,Abide Inc. recalls one lot of WholeHemp CBDA Capsules cannabis extract,Labelling And Packaging,2.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2021,November,Consumer product
336,2021-11-04,"Space-saving, Foldable and Comfortable 6-wheel Baby Walker recalled due to potential injury hazard",Injury Hazard,4.0,Household Items,Health Canada,consumer product recall,General Public,2021,November,Consumer product
337,2021-11-04,Turbo Racer and Cloud Racer Playsets with Wooden Roof recalled due to Entrapment Hazard ,Entrapment Hazard,5.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,November,Consumer product
338,2021-11-04,Coleman Classic 2 Burner Naphtha Stove recalled due to lack of child-resistant packaging and hazard labelling ,Labelling And Packaging,4.0,Outdoor Living,Health Canada,consumer product recall,General Public,2021,November,Consumer product
339,2021-11-03,Elektron BP-1 Power Handles  Recalled due to Burn and Fire Hazards,Burn Hazard,1.0,Electronics,Health Canada,consumer product recall,General Public,2021,November,Consumer product
340,2021-10-29,Forum Novelties' Twilight Princess Costume recalled due to Flammability Hazard,Flammability Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,October,Consumer product
341,2021-10-28,  Trichome JWC Acquisition Corp. d.b.a. JWC recalls one lot of Wagners Blue Lime Pie dried cannabis ,Product Quality,1.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2021,October,Consumer product
342,2021-10-27,  Liberty Hardware Mercury Glass Knob recalled due to laceration hazard ,Laceration Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,October,Consumer product
343,2021-10-27,  UWELL MARSU POD KIT recalled due to lack of child-resistant containers ,Product Safety,1.0,Specialized Products,Health Canada,consumer product recall,General Public,2021,October,Consumer product
344,2021-10-27,  Magnussen Nova B1428-10 5-Drawer Chest recalled due to tip-over hazard ,Product Safety,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,October,Consumer product
345,2021-10-27,  Workload Men's Safety Shoes recalled due to crush hazard ,Product Safety,1.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2021,October,Consumer product
346,2021-10-25,  LouLou Studio Linosa Kids Sweater recalled due to strangulation hazard ,Strangulation Hazard,1.0,Children's Products,Health Canada,consumer product recall,General Public,2021,October,Consumer product
347,2021-10-22,  Tomahawk Nordic Foam gun cleaner recalled due to improper labelling ,Product Safety,1.0,Chemicals,Health Canada,consumer product recall,General Public,2021,October,Consumer product
348,2021-10-21,  ihometea and Zoomie Kids Baby Walkers recalled due to potential injury hazard ,Product Safety,1.0,Children's Products,Health Canada,consumer product recall,General Public,2021,October,Consumer product
349,2021-10-20,  Revised and Expanded: Tomahawk Nordic Foam Low Expansion Insulation Polyurethane foam recalled due to improper labelling ,Product Safety,1.0,Chemicals,Health Canada,consumer product recall,General Public,2021,October,Consumer product
350,2021-10-15,  X-Lite Mini Electronic Lighter recalled due to potential fire and burn hazard ,Fire Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,October,Consumer product
351,2021-10-14,  Joint Venture Craft Cannabis Inc. recalls one lot of Bud Coast - Saltspring OG Shark Dried Cannabis ,Product Quality,1.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2021,October,Consumer product
352,2021-10-13,  Specialized Tarmac SL7 Bicycles recalled due to fall hazard ,Product Safety,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2021,October,Consumer product
353,2021-10-08,  Expanded Recall: Various JHY Design Tabletop Firepots recalled due to lack of appropriate labelling and hazard information ,Labelling And Packaging,1.0,Chemicals,Health Canada,consumer product recall,General Public,2021,October,Consumer product
354,2021-10-06,"  ElliptiGO Arc 3, Arc 8, Arc 24 Bicycles recalled due to Fall Hazard ",Product Safety,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2021,October,Consumer product
355,2021-10-05,  Party-Eh! Glow Set 24 Pieces recalled due to potential auditory hazard ,Product Safety,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,October,Consumer product
356,2021-10-01,  B&B Charcoal Oak Hardwood Lump Charcoal recalled due to Suffocation Hazard ,Labelling And Packaging,3.0,Outdoor Living,Health Canada,consumer product recall,General Public,2021,October,Consumer product
357,2021-09-29,  Kids Paw Patrol Skye Costume recalled due to Flammability Hazard ,Flammability Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,September,Consumer product
358,2021-09-28,  Recochem and Home TSP Powder All Purpose Cleaners recalled due to improper labelling and lack of child-resistant packaging ,Product Safety,1.0,Chemicals,Health Canada,consumer product recall,General Public,2021,September,Consumer product
359,2021-09-23,"  Boppy Original Newborn Loungers, Boppy Preferred Newborn Loungers and Pottery Barn Kids Boppy Newborn Loungers recalled due to suffocation hazard ",Product Safety,1.0,Children's Products,Health Canada,consumer product recall,General Public,2021,September,Consumer product
360,2021-09-23,  Clicker X HB Step-In Snowboard Bindings recalled due to risk of a fall hazard ,Fall Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2021,September,Consumer product
361,2021-09-22,Various JHY Design Tabletop Firepots recalled due to lack of appropriate labelling and hazard information ,Labelling And Packaging,9.0,Chemicals,Health Canada,consumer product recall,General Public,2021,September,Consumer product
362,2021-09-22,  Health Canada warns of magnet sets that pose serious health risks ,Physical Hazard,1.0,Toys And Games,Health Canada,public advisory,General Public,2021,September,Consumer product
363,2021-09-22,  Health Canada warns Canadians of the potential fire hazard of portable firepots sold on UBuy ,Fire Hazard,1.0,Household Items,Health Canada,public advisory,General Public,2021,September,Consumer product
364,2021-09-16,  IPPINKA Binchotan Lump Charcoal Products Recalled Due to Suffocation Hazard ,Labelling And Packaging,5.0,Outdoor Living,Health Canada,consumer product recall,General Public,2021,September,Consumer product
365,2021-09-15,  OXELO 3-wheel scooters for children recalled due to chemical hazard ,Product Safety,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,September,Consumer product
366,2021-09-15,  TAG brand rashguard for girls recalled due to choking hazard ,Product Safety,1.0,Children's Products,Health Canada,consumer product recall,General Public,2021,September,Consumer product
367,2021-09-13,  White-Rodgers Gen II Intellivent natural gas and propane control valves installed on certain models of Giant and Gemco natural gas and propane water heaters recalled due to potential carbon monoxide leak ,Product Safety,1.0,Appliances,Health Canada,consumer product recall,General Public,2021,September,Consumer product
368,2021-09-13,  Teak Shower Benches recalled due to fall hazard ,Product Safety,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,September,Consumer product
369,2021-09-10,  Update: Peloton Tread Treadmills recalled due to potential Injury Hazard ,Product Safety,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2021,September,Consumer product
370,2021-09-09,  Rattlesnake Egg - Singing magnets recalled due to ingestion hazard ,Ingestion Hazard,2.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,September,Consumer product
371,2021-09-09,  Great Pretenders® Pink Butterfly Dress with Wings and Wand recalled due to flammability Hazard ,Flammability Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,September,Consumer product
372,2021-09-09,  Ballz® QR Skewers recalled due to fall hazard ,Fall Hazard,1.0,Sports And Fitness,Health Canada,consumer product recall,General Public,2021,September,Consumer product
373,2021-09-08,  Concordia Furniture 3 drawers 1 door dressers in Toscan grey finish recalled due to tip-over and entrapment hazards ,Product Safety,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,September,Consumer product
374,2021-09-03,  Weaver Livestock Pro Charge Lightweight Reconditioning Spray recalled due to lack of bilingual labelling and hazard information ,Product Safety,1.0,Chemicals,Health Canada,consumer product recall,General Public,2021,September,Consumer product
375,2021-09-02,  StepUp Sidekick Learning TowersTM recalled due to fall hazard ,Fall Hazard,1.0,Children's Products,Health Canada,consumer product recall,General Public,2021,September,Consumer product
376,2021-09-01,  Top Paw Double Diner Dog Bowl recalled due to laceration hazard ,Laceration Hazard,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,September,Consumer product
377,2021-08-30,  Belmont 5 drawer chest recalled due to tip-over and entrapment hazards ,Product Safety,1.0,Household Items,Health Canada,consumer product recall,General Public,2021,August,Consumer product
378,2021-08-27,  Hop Skip Sparkle Fairy Princess Dress recalled due to flammability hazard ,Flammability Hazard,1.0,Toys And Games,Health Canada,consumer product recall,General Public,2021,August,Consumer product
379,2021-08-26,  Ryan and Rose Cutie Spoovel recalled due to Choking Hazard ,Choking Hazard,1.0,Children's Products,Health Canada,consumer product recall,General Public,2021,August,Consumer product
