,Date,Item,Nb_affected_models,Category,Published by,Audience,Recall class,Recall type,Year,Month,Recall Category,Sub Issue,Food_Issue
214,2022-03-27,Certain Taylor Shellfish Canada ULC brand Oysters recalled due to norovirus,5.0,Fresh,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,March,Food,Microbial Contamination,Microbiological Contamination
215,2022-03-25,Jimel’s Bakery brand baked goods recalled due to possible Salmonella contamination from rodent infestation,19.0,Grain products,"Jimel's Bakery and Food Products, 471 Bannatyne Ave., Winnipeg, MB",General Public,Class 2,food recall warning,2022,March,Food,Microbial Contamination,Microbiological Contamination
216,2022-03-23,Certain Stellar Bay Shellfish brand Chef Creek Oysters recalled due to norovirus,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,March,Food,Microbial Contamination,Microbiological Contamination
217,2022-03-22,Taisun brand Vegetarian Mushroom Jerky (Hot) recalled due to undeclared milk,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,March,Food,Allergen,Allergen
218,2022-03-20,Certain Stellar Bay Shellfish brand Oysters recalled due to norovirus,4.0,Fresh,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,March,Food,Microbial Contamination,Microbiological Contamination
219,2022-03-18,Dam Sen Dried Seafood brand Garlic Roasted Dried Squid recalled due to undeclared sesame,2.0,Processed,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,March,Food,Allergen,Allergen
220,2022-03-16,Golden Medal brand Enoki Mushroom recalled due to Listeria monocytogenes,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,March,Food,Microbial Contamination,Microbiological Contamination
221,2022-03-12,Cavendish Farms brand Classic Hash Brown Patties and no name brand Potato Patties recalled due to undeclared wheat and barley,3.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,March,Food,Allergen,Allergen
222,2022-03-11,Taisun brand Vegetarian Mushroom Jerky recalled due to undeclared milk,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,March,Food,Allergen,Allergen
223,2022-03-10,"Made Chocolates brand 73% Dark Chocolate Bar and QC brand 73% Cacao Dark Chocolate, Extra recalled due to undeclared milk ",3.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,March,Food,Allergen,Allergen
224,2022-03-04,Hana brand Frozen Fish Cake recalled due to undeclared egg,2.0,Frozen,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,March,Food,Allergen,Allergen
225,2022-02-23,3Fish brand Sauerkraut Fish (Szechuan Style) and Tilapia Soup with Pickled Vegetables recalled due to undeclared milk,3.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,February,Food,Allergen,Allergen
226,2022-02-18,Certain Raw BC Oysters recalled due to norovirus,2.0,Fresh,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,February,Food,Microbial Contamination,Microbiological Contamination
227,2022-02-17,3Fish brand Sauerkraut Fish (Szechuan Style) and Tilapia Soup with Pickled Vegetables recalled due to undeclared milk,3.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,February,Food,Allergen,Allergen
228,2022-02-17,Certain Abbott brand powdered infant formula products recalled due to Cronobacter sakazakii and Salmonella,21.0,Infant products,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,February,Food,Microbial Contamination,Microbiological Contamination
229,2022-02-11,Searay brand Sauerkraut Fish (Szechuan Style) Spicy and Sauerkraut Fish (Golden Soup) recalled due to undeclared milk,3.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,February,Food,Allergen,Allergen
230,2022-02-11,Our Chinese Heart brand Sauerkraut Tilapia (Hot Spicy) and Golden Soup Sauerkraut Fish (Tilapia (Mild Spicy)) recalled due to undeclared milk,3.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,February,Food,Allergen,Allergen
231,2022-02-11,Q One Homemade brand Blackrice & Honey Hoddeok Mix recalled due to undeclared peanut,2.0,Other,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,February,Food,Allergen,Allergen
232,2022-02-11,Yangyuan brand Six Walnut Drinks recalled due to undeclared milk,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,February,Food,Allergen,Allergen
233,2022-02-09,Hampton House brand Chicken Nuggets recalled due to Salmonella,2.0,Processed,JD Sweid Foods (2013) Ltd.,General Public,Class 2,food recall warning,2022,February,Food,Microbial Contamination,Microbiological Contamination
234,2022-02-08,Anhydra brand Organic Dehydrated Bananas recalled due to presence of insects,4.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,notification,2022,February,Food,Extraneous Material,Extraneous Material
235,2022-02-06,Hankook (Korean characters only) brand Original Kimchi recalled due to E. coli O157:H7,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,February,Food,Microbial Contamination,Microbiological Contamination
236,2022-02-03,PC brand Lemon & Ginger Sicilian Soda recalled due to possible presence of glass,2.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,February,Food,Extraneous Material,Extraneous Material
237,2022-02-02,JLF Foods Ltd. brand frozen white shrimp recalled due to nitrofurans,2.0,Frozen,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,February,Food,Chemical,Other
238,2022-02-02,President's Choice brand Roasted Cashews with Sea Salt recalled due to off odour and off taste,3.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,February,Food,Other,Other
239,2022-02-01,Various Two Bears brand Oat Milk Products recalled due to undeclared milk,8.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,February,Food,Allergen,Allergen
240,2022-02-01,Fresh Attitude and St-Hubert brand salads recalled due to pieces of plastic,9.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,February,Food,Extraneous Material,Extraneous Material
241,2022-01-28,Hankook (Korean characters only) brand Original Kimchi recalled due to E. coli O157:H7,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
242,2022-01-27,Tayeb brand sauces recalled due to pieces of metal,3.0,Condiments,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,January,Food,Extraneous Material,Extraneous Material
243,2022-01-26,PC Organics brand Old-Fashioned Rolled Oats recalled due to presence of insects,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,January,Food,Extraneous Material,Extraneous Material
244,2022-01-25,Miski Organic brand Organic Dried Banana Slices recalled due to presence of insects,3.0,Fruits and vegetables,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,January,Food,Extraneous Material,Extraneous Material
245,2022-01-25,ZYO brand Dried Banana recalled due to presence of insects,3.0,Fruits and vegetables,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,January,Food,Extraneous Material,Extraneous Material
246,2022-01-24,Certain Quality fast foods brand and Hygaard Fine Foods Ltd. brand sandwiches recalled due to Listeria monocytogenes,18.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
247,2022-01-22,Two Bears brand Unsweetened Oat M*lk recalled due to undeclared milk,2.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,January,Food,Allergen,Allergen
248,2022-01-22,Shirakiku brand Baked Red Bean Cake recalled due to undeclared milk,2.0,Grain products,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,January,Food,Allergen,Allergen
249,2022-01-22,Searay brand Sauerkraut Fish (Szechuan Style) Spicy recalled due to undeclared milk,2.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,January,Food,Allergen,Allergen
250,2022-01-21,Arifoglu brand Black Pepper Ground recalled due to undeclared gluten,2.0,Herbs and spices,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,January,Food,Allergen,Allergen
251,2022-01-21,Consumption of Evive brand Immunity Super Functional Smoothie may cause cyanide poisoning ,2.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,January,Food,Chemical,Other
252,2022-01-18,Mahruse brand Halva with Black Seeds recalled due to Salmonella,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
253,2022-01-17,Certain Tiger Nuts recalled due to possible Salmonella contamination from rodent infestation,2.0,Other,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
254,2022-01-16,Mahruse brand Tahini Extra Sesame Seed Paste recalled due to Salmonella,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,January,Food,Microbial Contamination,Microbiological Contamination
255,2022-01-14,Various Food Products recalled due to possible Salmonella contamination from rodent infestation,3.0,Other,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
256,2022-01-13,Various Food Products recalled due to possible Salmonella contamination from rodent infestation,2.0,Other,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
257,2022-01-13,M&M Food Market brand Cauliflower Gratin recalled due to undeclared mustard,2.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2022,January,Food,Allergen,Allergen
258,2022-01-11,Aoun brand Tahineh recalled due to Salmonella,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
259,2022-01-11,King Ranch Casserole recalled due to Salmonella,3.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
260,2022-01-10,"Moncton Fish Market brand ""La"" Stimpson's Surf Clams recalled due to potential presence of dangerous bacteria",2.0,Processed,Moncton Fish Market Ltd.,General Public,Class 1,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
261,2022-01-10,Aoun brand Tahineh recalled due to Salmonella,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
262,2022-01-07,Certain Dole and President's Choice brand salad products recalled due to Listeria monocytogenes,14.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2022,January,Food,Microbial Contamination,Microbiological Contamination
263,2022-01-07,Nourishment Meals brand Pulled Chicken & Rice Burritos recalled due to Salmonella,2.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,notification,2022,January,Food,Microbial Contamination,Microbiological Contamination
264,2022-01-07,Selection brand Quick Fry Hashbrowns recalled due to pieces of plastic,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 3,notification,2022,January,Food,Extraneous Material,Extraneous Material
265,2022-01-06,Mahruse brand Tahini Sesame Seed Paste recalled due to Salmonella,2.0,Other,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2022,January,Food,Microbial Contamination,Microbiological Contamination
266,2021-12-31,Certain Save on Foods brand combo meals recalled due to Salmonella,5.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Microbial Contamination,Microbiological Contamination
267,2021-12-30,Great Value brand pancake mixes recalled due to presence of insects,4.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,December,Food,Extraneous Material,Extraneous Material
268,2021-12-24,Various prepared meals sold by certain Osaka and T&T Supermarkets in British Columbia recalled due to Salmonella,5.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Microbial Contamination,Microbiological Contamination
269,2021-12-23,Moncton Fish Market brand Bar Clams recalled due to potential presence of dangerous bacteria,2.0,Processed,Moncton Fish Market Ltd.,General Public,Class 1,food recall warning,2021,December,Food,Microbial Contamination,Microbiological Contamination
270,2021-12-22,Certain Fresh Express brand salad products recalled due to Listeria monocytogenes,24.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Microbial Contamination,Microbiological Contamination
271,2021-12-21,Tandoori Oven brand Chicken Kebab recalled due to misleading allergen information,2.0,Processed,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,December,Food,Allergen,Allergen
272,2021-12-19,Dream Pops brand Bites recalled due to undeclared milk,6.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Allergen,Allergen
273,2021-12-19,Alasko brand IQF (Individually Quick Frozen) whole kernel corn recalled due to Salmonella ,2.0,Frozen,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,food recall warning,2021,December,Food,Microbial Contamination,Microbiological Contamination
274,2021-12-18,Aoun brand Tahineh recalled due to Salmonella,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,December,Food,Microbial Contamination,Microbiological Contamination
275,2021-12-17,Sera brand Kabak Dolmasi recalled due to undeclared Cashew,2.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Allergen,Allergen
276,2021-12-17,Certain Goodfood brand Pesto Radiatore recalled due to undeclared cashew,3.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Allergen,Allergen
277,2021-12-17,Dream Pops brand Bites recalled due to undeclared milk,6.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Allergen,Allergen
278,2021-12-15,Great Value brand Buttermilk Pancake & Waffle Mix Complete recalled due to presence of insects,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,December,Food,Extraneous Material,Extraneous Material
279,2021-12-14,Alasko brand IQF (Individually Quick Frozen) whole kernel corn recalled due to Salmonella,2.0,Frozen,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 2,food recall warning,2021,December,Food,Microbial Contamination,Microbiological Contamination
280,2021-12-14,Le Soleil du Sud brand Wild Argentina Shrimps recalled due to undeclared sulphites,2.0,Frozen,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,December,Food,Allergen,Allergen
281,2021-12-13,Taylor Farms brand Maple Bourbon Chopped Kit (salad) recalled due to Salmonella,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,December,Food,Microbial Contamination,Microbiological Contamination
282,2021-12-10,Great Value and Belmont Meats brand Chicken Burgers recalled due to undeclared egg,3.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Allergen,Allergen
283,2021-12-10,Brooklyn Born Chocolate brand Keto Dark Chocolate Salted Almonds recalled due to presence of insects,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,December,Food,Extraneous Material,Extraneous Material
284,2021-12-09,Dunya brand Sliced Turnip recalled due to undeclared sulphites,2.0,Canned,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,December,Food,Allergen,Allergen
285,2021-12-06,Pegah brand Mix Nut Baklava recalled due to undeclared cashew,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 2,notification,2021,December,Food,Allergen,Allergen
286,2021-12-06,Twinkle Baker Décor brand frosting tubes and icing gels recalled due to improperly declared milk,7.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,December,Food,Allergen,Allergen
287,2021-12-03,Great Value brand Chicken Burgers recalled due to undeclared egg,2.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,December,Food,Allergen,Allergen
288,2021-12-02,Fromage de Bellelay brand Tête de Moine (Firm Ripened Cheese) recalled due to Staphylococcus aureus,2.0,Dairy,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,December,Food,Microbial Contamination,Microbiological Contamination
289,2021-11-30,Great Lakes Goat Dairy brand Herb & Garlic Goat Cheese and Aged Cheddar Goat Cheese recalled due to Listeria monocytogenes,3.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
290,2021-11-29,One Tang brand Sweet Apricot Kernels may cause cyanide poisoning,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Chemical,Other
291,2021-11-26,Consumption of One Tang brand Bitter Apricot Kernel may cause cyanide poisoning,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Chemical,Other
292,2021-11-25,Jongilpoom brand Enoki Mushroom recalled due to Listeria monocytogenes,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
293,2021-11-24,Certain fish cake products recalled due to undeclared egg,3.0,Processed,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Allergen,Allergen
294,2021-11-24,Org hulled sesame seeds recalled due to Salmonella,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
295,2021-11-20,Certain sesame seed-containing products recalled due to Salmonella,6.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
296,2021-11-20,AlBurj brand Halawa Pistachio Extra recalled due to Salmonella,3.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
297,2021-11-19,Elan brand Organic sesame whole seeds recalled due to Salmonella,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
298,2021-11-19,Country Time brand Original Lemonade Fruit Juice Substitute Drink Mix and Tang brand Orange Flavour Crystals recalled due to possible presence of glass,3.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Extraneous Material,Extraneous Material
299,2021-11-19,Going Nuts brand Organic white sesame seeds recalled due to Salmonella,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
300,2021-11-19,AlBurj brand and Algota brand tahina/tahini and halawa/halvah recalled due to Salmonella,7.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
301,2021-11-19,Nupak brand Soup Mix recalled due to presence of insects,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Extraneous Material,Extraneous Material
302,2021-11-18,Organic sesame seeds recalled due to Salmonella,5.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
303,2021-11-18,Various brands of Chocolate Raisins recalled due to undeclared peanut,5.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Allergen,Allergen
304,2021-11-16,Tootsi brand Organic Hulled Sesame Seeds recalled due to Salmonella,2.0,"Nuts, grains, and seeds",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Microbial Contamination,Microbiological Contamination
305,2021-11-15,Jongilpoom brand Enoki Mushroom recalled due to Listeria monocytogenes,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
306,2021-11-12,Twinkle Baker Décor brand Frosting Tube/White/Vanilla recalled due to improperly declared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Allergen,Allergen
307,2021-11-11,String Cheese Roll Fish Cake recalled due to undeclared egg,2.0,Processed,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Allergen,Allergen
308,2021-11-10,Certain broccoli seeds sold by Junction Microgreens recalled due to Salmonella,2.0,Other,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
309,2021-11-09,Arcadia Microgreens brand Broccoli Microgreens recalled due to Salmonella,4.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,notification,2021,November,Food,Microbial Contamination,Microbiological Contamination
310,2021-11-09,Certain Broadwood Farm brand microgreens recalled due to Salmonella,3.0,Other,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
311,2021-11-09,MVP brand yellow onions recalled due to Salmonella,2.0,Fruits and vegetables,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
312,2021-11-09,AlBurj brand Tahina and Halawa recalled due to Salmonella,5.0,"Candy, confectionary, snacks and sweeteners",Jabbour Export/Import Ltd.,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
313,2021-11-08,La Daria brand Burrata recalled due to generic E. coli,3.0,Dairy,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Microbial Contamination,Microbiological Contamination
314,2021-11-08,Terrafibre brand Microfarmer Kit - Broccoli recalled due to Salmonella,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,notification,2021,November,Food,Microbial Contamination,Microbiological Contamination
315,2021-11-08,Prairie Microgreens brand Microgreens - Broccoli recalled due to Salmonella,2.0,Other,Canadian Food Inspection Agency,General Public,Class 1,notification,2021,November,Food,Microbial Contamination,Microbiological Contamination
316,2021-11-07, Certain sliced mushroom products recalled due to Listeria monocytogenes,6.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
317,2021-11-06, Mumm's Sprouting Seeds brand Broccoli recalled due to Salmonella,5.0,Other,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
318,2021-11-05,Lightlife Smart Ground brand Original - Plant-Based Crumbles recalled due to pouch integrity defects,2.0,Other,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Other,Other
319,2021-11-05,Clover Leaf brand Cocktail Shrimp Wild recalled due to undeclared egg,2.0,Canned,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Allergen,Allergen
320,2021-11-04,Ingredion brand Instant PureFlow® F Modified Corn Starch recalled due to pieces of metal,2.0,Grain products,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Extraneous Material,Extraneous Material
321,2021-11-03,Jongilpoom brand Enoki Mushroom recalled due to Listeria monocytogenes,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,November,Food,Microbial Contamination,Microbiological Contamination
322,2021-11-03,Gordon Choice brand Red Onions recalled due to Salmonella,3.0,Fresh,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2021,November,Food,Microbial Contamination,Microbiological Contamination
323,2021-11-01,Farm Boy brand Dijon Mustard recalled due to undeclared egg,2.0,Condiments,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2021,November,Food,Allergen,Allergen
324,2021-10-29,Amara brand Organic Smoothie Melts – Carrot Raspberry recalled due to plastic pieces,2.0,Infant products,Canadian Food Inspection Agency,General Public,Class 3,food recall warning,2021,October,Food,Extraneous Material,Extraneous Material
325,2021-10-29,"Northern King brand and Thai Gold brand Shrimp Tempura recalled due to undeclared egg, soy, milk, and sulphites",8.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,October,Food,Allergen,Allergen
326,2021-10-29,Walkers brand Mint Thins recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,October,Food,Allergen,Allergen
327,2021-10-28,Driscoll's brand blueberries recalled due to pieces of metal,2.0,Fresh,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 2,notification,2021,October,Food,Extraneous Material,Extraneous Material
328,2021-10-28,Jongilpoom brand Enoki Mushroom recalled due to Listeria monocytogenes ,2.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,October,Food,Microbial Contamination,Microbiological Contamination
329,2021-10-28,Longo's brand Chicken Burgers recalled due to undeclared egg,2.0,Frozen,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,October,Food,Allergen,Allergen
330,2021-10-27,  Goodfood brand Onions recalled due to Salmonella ,3.0,Fresh,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,October,Food,Microbial Contamination,Microbiological Contamination
331,2021-10-23,  Charcuterie Fortin brand Salami recalled due to undeclared wheat ,2.0,Processed,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,food recall warning,2021,October,Food,Allergen,Allergen
332,2021-10-22,"  Gwillimdale Farms brand Onions, Product of Mexico recalled due to Salmonella ",4.0,Fresh,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,food recall warning,2021,October,Food,Microbial Contamination,Microbiological Contamination
333,2021-10-15,  Happy Veggie World brand Vege Chicken Breast and Vegefarm brand Vege Stewed Lamb Chunk recalled due to undeclared egg ,1.0,Not Categorized,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,October,Food,Allergen - Egg,Allergen
334,2021-10-15,  allSpices Food brand Sauce Ging-Hab recalled due to container integrity defects ,1.0,Not Categorized,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 3,notification,2021,October,Food,Microbiological - Other,Microbiological Contamination
335,2021-10-14,  Canada Uncle Bill Seafood brand Dried Octopus recalled due to undeclared sulphites ,1.0,Not Categorized,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 2,food recall warning,2021,October,Food,Allergen - Sulphites,Allergen
336,2021-10-14,  Jongilpoom brand Enoki Mushroom recalled due to Listeria monocytogenes ,1.0,Not Categorized,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2021,October,Food,Microbiological - Listeria,Microbiological Contamination
337,2021-10-14,  Happy Veggie World brand Vege Chicken Breast and Vegefarm brand Vege Stewed Lamb Chunk recalled due to undeclared egg ,1.0,Not Categorized,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2021,October,Food,Allergen - Egg,Allergen
338,2021-10-08,  Deon Oyster Company Limited brand Atlantic Oysters recalled due to generic E. coli ,1.0,Not Categorized,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 2,notification,2021,October,Food,Microbiological - Other,Microbiological Contamination
