,Date,Item,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Companies,Published by,Audience,Recall class,Recall type,Identification number,Starting date:,Type of communication:,Alert sub-type:,Subcategory:,Hazard classification:,Source of recall:,Recalling firm:,Distribution:,Extent of the product distribution:,CFIA reference number:,Issue:,Audience:,Identification number:,Posting date:
0,2022-07-27,"
Vicentina Fine Foods Gourmet brand Meat Lasagna recalled due to undeclared cashew
",Vicentina Fine Foods Gourmet,Meat lasagna,Food - Allergen - Tree nut,2.0,Food recall warning,Food - Multiple food items,Vicentina Fine Italian Foods,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-07-26,"
Organic Traditions brand dark chocolate covered nut products recalled due to possible undeclared milk, cashew, milk, almond and/or hazelnut
",Organic Traditions,Dark chocolate covered nut products,Food - Allergen - Milk,9.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Advantage Health Matters Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15101
",,,,,,,,,,,,,,
0,2022-07-25,"
Irresistibles brand Sesame Asian Style Dressing recalled due to spoilage
",Irresistibles,Sesame Asian Style Dressing,Food - Microbial Contamination - Non harmful (quality or spoilage),2.0,Notification,Food - Condiments,Metro Ontario Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15093
",,,,,,,,,,,,,,
0,2022-07-23,"
Certain That's it. brand Dark Chocolate Truffles recalled due to undeclared milk
",That's It.,Dark Chocolate Truffles,Food - Allergen - Milk,3.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",UNFI Canada Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-07-22,"
Certain Organic Traditions brand dark chocolate nut products recalled due to undeclared milk and hazelnut
",Organic Traditions,Dark chocolate nut products,Food - Allergen - Milk,3.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Advantage Health Matters Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15089
",,,,,,,,,,,,,,
0,2022-07-21,"
Certain Zabiha Halal brand and Maple Lodge Farms brand Chicken Wiener products recalled due to undeclared pea protein
",Zabiha Halal,Certain Chicken Wiener products,Food - Allergen - Other,4.0,Food recall warning,Food - Meat and poultry - Processed,Food - Meat and poultry - Frozen,Maple Lodge Farms Ltd.,Canadian Food Inspection Agency,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-07-20,"
Certain Enjoy Life brand Soft Baked Cookies – Chocolate Chip recalled due to possible presence of pieces of plastic
",Enjoy Life,Certain Soft Baked Cookies – Chocolate Chip,Food - Extraneous Material,2.0,Food recall warning,Food - Grain products,"Enjoy Life Natural Brands, LLC
Ontario Natural Food Company",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-07-18,"
Knorr Professional Soup du jour brand Red Thai Curry Chicken with Rice Soup Mix recalled due to undeclared milk
",Knorr Professional Soup du jour,Red Thai Curry Chicken with Rice Soup Mix,Food - Allergen - Milk,2.0,Notification,Food - Multiple food items,Unilever Canada,Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
15084
",,,,,,,,,,,,,,
0,2022-07-18,"
Various brands of chocolate products recalled due to improperly declared milk
",Master Chocolat Bernard,Chocolate products,Food - Allergen - Milk,10.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Master Chocolat,Canadian Food Inspection Agency,Retail,Retail,notification,"
15078
",,,,,,,,,,,,,,
0,2022-07-15,"
Crave Stevia brand chocolate products recalled due to undeclared milk
",Crave Stevia,Chocolate products,Food - Allergen - Milk,7.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Big Venture Sales Ltd.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-07-15,"
Stuffed Fish Ball recalled due to undeclared egg
",,Stuffed Fish Ball,Food - Allergen - Egg,2.0,Food recall warning,Food - Fish and seafood - Frozen,Xinpangao International Trade Corporation,Canadian Food Inspection Agency,"

General public

",,food recall warning,,,,,,,,,,,,,,,
0,2022-07-15,"
Fry's brand Orange Cream (Dark Chocolate Bar) recalled due to undeclared milk
",Fry's,Orange Cream (Dark Chocolate Bar),Food - Allergen - Milk,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",BritGrocer Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15077
",,,,,,,,,,,,,,
0,2022-07-12,"
Enoki Mushroom recalled due to Listeria monocytogenes
",,Enoki Mushroom,Food - Microbial Contamination - Listeria,2.0,Food recall warning,Food - Fruits and vegetables - Fresh,Covic International Trading Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-07-08,"
Various brands of Palm Oil recalled due to Salmonella 
",Aliments Sano Halal Food,Palm Oil,Food - Microbial Contamination - Salmonella,6.0,Notification,Food - Other,Sano Halal Foods Inc.,Canadian Food Inspection Agency,"Hotels, restaurants and institutions
Retail","Hotels, restaurants and institutions",notification,"
15064
",,,,,,,,,,,,,,
0,2022-07-05,"
That's It. brand Dark Chocolate Fig Truffles recalled due to undeclared milk
",That's It.,Dark Chocolate Fig Truffles,Food - Allergen - Milk,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",UNFI Canada Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15060
",,,,,,,,,,,,,,
0,2022-07-01,"
Certain Enjoy Life brand bakery products recalled due to possible presence of pieces of plastic
",Enjoy Life,Certain bakery products,Food - Extraneous Material,7.0,Food recall warning,Food - Grain products,"Enjoy Life Natural Brands, LLC
Loblaw Companies Ltd.
Ontario Natural Food Company
UNFI Canada Inc.",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-07-01,"
TWA Fungi brand King Oyster Mushroom recalled due to Listeria monocytogenes
",TWA Fungi,King Oyster Mushroom,Food - Microbial Contamination - Listeria,2.0,Food recall warning,Food - Fruits and vegetables - Fresh,Kam Ding Investment Ltd.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-06-30,"
RemarkaBall brand Crunchy Energy Balls recalled due to undeclared milk
",RemarkaBall,Crunchy Energy Balls,Food - Allergen - Milk,3.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Fitwave,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-06-29,"
Shortage of infant formulas for babies with food allergies: what you should know and do
","Similac®, Nutramigen®, Pregestimil®, Neocate® and Puramino®",Infant formulas for babies with food allergies and certain medical conditions,Health products - Supply,1.0,Public advisory,Food - Infant products,,Health product,"Children, pregnant or breast feeding women",,public advisory,,,,,,,,,,,,,,,
0,2022-06-28,"
Lao Beijing brand Drinkable Yogurt recalled due to mould
",Lao Beijing,Drinkable Yogurt,Food - Microbial Contamination - Non harmful (quality or spoilage),5.0,Notification,Food - Dairy,HZ Foods Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15047
",,,,,,,,,,,,,,
0,2022-06-24,"
T.A.S. brand Coconut Water recalled due to undeclared milk
",T.A.S.,Coconut Water,Food - Allergen - Milk,2.0,Food recall warning,Food - Beverages - Non-alcoholic,"Canda Six Fortune Enterprise Co., Ltd.",Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-06-24,"
Gelato Artigianale al gusto di Raspberry Gelato recalled due to possible norovirus contamination of raspberries used in product
",,Gelato Artigianale al gusto di Raspberry Gelato,Food - Microbial Contamination - Norovirus,2.0,Food recall warning,Food - Dairy,"Angelo's Italian Market Inc. (London, ON)",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-06-24,"
Raaka brand Coconut Milk Unroasted Dark Chocolate 60% Cacao recalled due to undeclared sesame
",Raaka,Coconut Milk Unroasted Dark Chocolate 60% Cacao,Food - Allergen - Sesame seeds,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Chocexchange Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15052
",,,,,,,,,,,,,,
0,2022-06-24,"
Shrimp dumpling with fish wrapper recalled due to undeclared egg
",,Shrimp dumpling with fish wrapper,Food - Allergen - Egg,2.0,Food recall warning,Food - Fish and seafood - Frozen,Xinpangao International Trade Corporation,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-06-23,"
Master Chocolat Bernard brand Dark Chocolate Chips recalled due to undeclared milk
",Master Chocolat Bernard,Dark Chocolate Chips,Food - Allergen - Milk,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Master Chocolat,Canadian Food Inspection Agency,Retail,Retail,notification,"
15049
",,,,,,,,,,,,,,
0,2022-06-23,"
Various brands of Ginger Cookies and Oatmeal Choc Chip Cookies recalled due to pieces of metal
",Irene's Bakery,Ginger Cookies and Oatmeal Choc Chip Cookies,Food - Extraneous Material,5.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Irene's Bakery,Canadian Food Inspection Agency,Retail,Retail,notification,"
15043
",,,,,,,,,,,,,,
0,2022-06-23,"
Crave Stevia brand Dark All Natural Chocolate recalled due to undeclared milk
",Crave Stevia,Dark All Natural Chocolate,Food - Allergen - Milk,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Big Venture Sales Ltd.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-06-21,"
RemarkaBall brand Crunchy Almond Crunchy Energy Balls recalled due to undeclared milk
",RemarkaBall,Crunchy Almond Crunchy Energy Balls,Food - Allergen - Milk,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Fitwave,Canadian Food Inspection Agency,Retail,Retail,notification,"
15048
",,,,,,,,,,,,,,
0,2022-06-21,"
Fresh Prep brand Creamy Basil Pesto Gnocchi recalled due to undeclared wheat
",Fresh Prep,Creamy Basil Pesto Gnocchi,Food - Allergen - Gluten,2.0,Notification,Food - Multiple food items,Fresh Prep Foods Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15050
",,,,,,,,,,,,,,
0,2022-06-19,"
Certain Abbott brand powdered infant formula products recalled due to possible Cronobacter sakazakii and Salmonella 
",Abbott,Certain powdered infant formula products,Food - Microbial Contamination - Salmonella,5.0,Food recall warning,Food - Infant products,Shoppers Drug Mart,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-06-18,"
Certain Revive Superfoods brand Smoothies and Oats recalled due to possible norovirus contamination of raspberries used in these products
",Revive Superfoods,Certain smoothies and oats,Food - Microbial Contamination - Norovirus,8.0,Food recall warning,Food - Grain products - Oatmeal,Food - Other,Revive Organics Inc.,Canadian Food Inspection Agency,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-06-17,"
Irresistibles brand Sesame Asian Style Dressing recalled due to spoilage
",Irresistibles,Sesame Asian Style Dressing,Food - Microbial Contamination - Non harmful (quality or spoilage),2.0,Notification,Food - Other,Metro Ontario Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15036
",,,,,,,,,,,,,,
0,2022-06-10,"
Alasko brand IQF Whole Raspberries recalled due to norovirus
",Alasko,IQF Whole Raspberries,Food - Microbial Contamination - Norovirus,2.0,Notification,Food - Fruits and vegetables - Frozen,New Alasko Limited Partnership,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",General public,notification,"
15024
",,,,,,,,,,,,,,
0,2022-06-08,"
Certain Rico ‘n Lalo brand and Mini Lalo brand frozen bars recalled due to undeclared hazelnut, milk and sulphites 
",Rico ‘n Lalo,Certain frozen bars,Food - Allergen - Milk,3.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Eclectic Food Services Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-06-03,"
Baril brand Processed Potatoes recalled due to pieces of metal
",Baril,Processed Potatoes,Food - Extraneous Material,2.0,Notification,Food - Fruits and vegetables - Fresh,Les Aliments Bari Inc.,Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
15022
",,,,,,,,,,,,,,
0,2022-06-02,"
Certain Tri-Star Seafood Supply Ltd. Spot Prawns recalled due to norovirus
",Tri-Star Seafood Supply Ltd.,Certain Spot Prawns,Food - Microbial Contamination - Norovirus,3.0,Food recall warning,Food - Fish and seafood - Fresh,Tri-Star Seafood Supply Ltd.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-06-02,"
Freshprep brand Crunchy Caesar Salad recalled due to undeclared milk
",Freshprep,Crunchy Caesar Salad,Food - Allergen - Milk,2.0,Notification,Food - Multiple food items,Fresh Prep Foods Inc.,Canadian Food Inspection Agency,General public,General public,notification,"
15018
",,,,,,,,,,,,,,
0,2022-06-01,"
Whole raspberries (frozen) recalled due to norovirus
",,Whole raspberries (frozen),Food - Microbial Contamination - Norovirus,2.0,Food recall warning,Food - Fruits and vegetables - Frozen,Épicerie Frenette,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-05-31,"
Certain Tri-Star Seafood Supply Ltd. brand Live Spot Prawns recalled due to norovirus
",Tri-Star Seafood Supply Ltd.,Certain Live Spot Prawns,Food - Microbial Contamination - Norovirus,2.0,Food recall warning,Food - Fish and seafood - Fresh,Tri-Star Seafood Supply Ltd.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-05-26,"
Certain Sweet Spot Chocolate Shop brand peanut butter-containing chocolates recalled due to Salmonella
",Sweet Spot Chocolate Shop,Certain peanut butter-containing chocolates,Food - Microbial Contamination - Salmonella,23.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Sweet Spot Chocolate Shop,Canadian Food Inspection Agency,"

General public

",,food recall warning,,,,,,,,,,,,,,,
0,2022-05-24,"
Rogers brand Golden Yellow Sugar recalled due to pieces of plastic
",Rogers,Golden Yellow Sugar,Food - Extraneous Material,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Lantic Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15004
",,,,,,,,,,,,,,
0,2022-05-22,"
Certain Jif brand Peanut Butters  recalled due to Salmonella
",Jif,Certain Jif brand Peanut Butters,Food - Microbial Contamination - Salmonella,12.0,Food recall warning,Food - Other,Smucker Foods of Canada Corp.,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-05-20,"
Cebu's Dried Fish brand Dried Silver Fish (Bol S Dilis) recalled due to histamine
",Cebu's Dried Fish,Dried Silver Fish (Bol S Dilis),Food - Chemical,2.0,Notification,Food - Fish and seafood,Cebu's Dried Fish,Canadian Food Inspection Agency,Retail,Retail,notification,"
15005
",,,,,,,,,,,,,,
0,2022-05-19,"
Lafleur Original brand Wieners recalled due to texture and appearance issues
",Lafleur Original,Wieners,Food - Other,2.0,Notification,Food - Meat and poultry - Processed,Olymel L.P.,Canadian Food Inspection Agency,Retail,Class 3,notification,,,,,,,,,,,,,,,
0,2022-05-17,"
Suzie's brand Organic Cocktail Sauce recalled due to spoilage
",Suzie's,Organic Cocktail Sauce,Food - Microbial Contamination - Non harmful (quality or spoilage),2.0,Notification,Food - Condiments,Canadian Choice Wholesalers,Canadian Food Inspection Agency,Retail,Retail,notification,"
14992
",,,,,,,,,,,,,,
0,2022-05-16,"
Life Savers, Skittles and Starburst brand gummies recalled due to pieces of metal
",Life Savers,Gummies,Food - Extraneous Material,10.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Mars Wrigley Canada,Canadian Food Inspection Agency,Retail,Retail,notification,"
14989
",,,,,,,,,,,,,,
0,2022-05-15,"
Below Zero brand Whole Raspberries IQF recalled due to Norovirus
",Below Zero,Whole Raspberries IQF,Food - Microbial Contamination - Norovirus,2.0,Notification,Food - Fruits and vegetables - Frozen,Mantab Inc.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",General public,notification,"
14991
",,,,,,,,,,,,,,
0,2022-05-13,"
Jumbo brand Melk Chocopasta (Milk Chocolate Spread) recalled due to undeclared hazelnuts
",Jumbo,Milk chocolate spread,Food - Allergen - Tree nut,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Royal Import & Export Ltd.,Canadian Food Inspection Agency,Retail,Retail,notification,"
14988
",,,,,,,,,,,,,,
0,2022-05-13,"
Tree Brewing Co. brand Golden Larch Grapefruit Radler recalled due to undeclared sulphites
",Tree Brewing Co.,Golden Larch Grapefruit Radler,Food - Allergen - Sulphites,3.0,Food recall warning,Food - Beverages - Alcoholic,Tree Brewing Co.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-05-13,"
GB Foods brand Various Sausage Products recalled due to undeclared gluten and/or wheat
",GB Foods,Various sausage products,Food - Allergen - Gluten,12.0,Notification,Food - Meat and poultry - Processed,GB Foods,Canadian Food Inspection Agency,"Hotels, restaurants and institutions
Retail","Hotels, restaurants and institutions",notification,"
14984
",,,,,,,,,,,,,,
0,2022-05-05,"
Certain organic poppy seeds recalled due to Salmonella
",,Certain organic poppy seeds,Food - Microbial Contamination - Salmonella,2.0,Food recall warning,"Food - Nuts, grains, and seeds",Bulk Basket,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-05-04,"
Various Elite brand products recalled due to Salmonella 
",Elite,Various,Food - Microbial Contamination - Salmonella,98.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Foodfest International 2000 Inc.,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-05-03,"
Kerem brand ""Feigen mit Reismehl"" (dried figs) recalled due to ochratoxin A
",Kerem,Dried figs,Food - Chemical - Contamination,2.0,Notification,Food - Fruits and vegetables,Fancy Foods Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
14918
",,,,,,,,,,,,,,
0,2022-05-03,"
Pimlico Confectioners brand and Keats London brand vegan chocolate products recalled due to undeclared milk
",Pimlico Confectioners,Vegan chocolate products,Food - Allergen - Milk,4.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",TJX Canada,Canadian Food Inspection Agency,General public,,food recall warning,,,,,,,,,,,,,,,
0,2022-05-02,"
Certain blue organic poppy seeds recalled due to Salmonella
",,Certain blue organic poppy seeds,Food - Microbial Contamination - Salmonella,2.0,Food recall warning,"Food - Nuts, grains, and seeds",Healthy Planet - Oakville,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-29,"
Jumbo brand Puur Chocopasta (Dark Chocolate Spread) recalled due to undeclared hazelnuts
",Jumbo,Dark Chocolate Spread,Food - Allergen - Tree nut,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Royal Import & Export Ltd.,Canadian Food Inspection Agency,Retail,Retail,notification,"
14967
",,,,,,,,,,,,,,
0,2022-04-29,"
Certain organic poppy seeds recalled due to Salmonella
",,Certain organic poppy seeds,Food - Microbial Contamination - Salmonella,2.0,Food recall warning,"Food - Nuts, grains, and seeds",Healthy Planet - Markham,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-27,"
Pimlico Confectioners brand Vegan Fine Hazelnut Truffles recalled due to undeclared milk
",Pimlico Confectioners,Vegan Fine Hazelnut Truffles,Food - Allergen - Milk,2.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",TJX Canada,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2022-04-23,"
Various poppy seeds recalled due to Salmonella
",,Various poppy seeds,Food - Microbial Contamination - Salmonella,2.0,Food recall warning,"Food - Nuts, grains, and seeds",HOPE Eco-Farm Store,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-22,"
Various poppy seeds recalled due to Salmonella
",GPE,Various poppy seeds,Food - Microbial Contamination - Salmonella,5.0,Food recall warning,"Food - Nuts, grains, and seeds","Grain Process Enterprises Ltd., Johnvince Foods, Healthy Planet, Natural Food Pantry (Formerly Rainbow Foods),",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-22,"
Certain breaded meat products from Toscana Meat Distributors recalled due to undeclared allergens
",,Breaded meat products,Food - Allergen - Gluten,7.0,Notification,Food - Meat and poultry,Toscana Meat Distributors 1987 Ltd.,Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
14923
",,,,,,,,,,,,,,
0,2022-04-22,"
Various brands of bottled water and soda recalled due to mould and yeast
",,Bottled water and soda,Food - Microbial Contamination - Non harmful (quality or spoilage),13.0,Notification,Food - Beverages - Non-alcoholic,Canadian Gold Beverages,Canadian Food Inspection Agency,Retail,Retail,notification,"
14942
",,,,,,,,,,,,,,
0,2022-04-21,"
Various poppy seeds recalled due to Salmonella
",Wahu,Various poppy seeds,Food - Microbial Contamination - Salmonella,12.0,Food recall warning,"Food - Nuts, grains, and seeds","Dutch House Farms, Oak Manor Farms, Wahu Foods Inc., Penny's Pantry, St. Ambrose Honey, The Granary Inc., Sugar Ridge Inc., Natural Food Pantry, Herb & Spice Shop",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-20,"
Various poppy seeds recalled due to Salmonella
",GPE,Various poppy seeds,Food - Microbial Contamination - Salmonella,6.0,Food recall warning,"Food - Nuts, grains, and seeds","Bio Bazaar, Nuthouse, Goodness Me! Natural Food Market, Grain Process Enterprises Ltd.",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-19,"
Various poppy seeds recalled due to Salmonella
",Grainworks,Various poppy seeds,Food - Microbial Contamination - Salmonella,7.0,Food recall warning,"Food - Nuts, grains, and seeds","Oak Manor Organic, Sunnyside Natural Market, Distribution Horizon Nature, Grainworks Inc.",Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-14,"
Certain Pacific Oysters recalled due to norovirus
","Joyce Point, Read Island Gem, Joes Gold, Sawmill Bay DD",Certain Pacific Oysters,Food - Microbial Contamination - Norovirus,5.0,Food recall warning,Food - Fish and seafood - Fresh,Sawmill Bay Shellfish Co. Ltd.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 3,food recall warning,,,,,,,,,,,,,,,
0,2022-04-13,"
Various brands of ice cream products recalled due to pieces of plastic and metal
",,Ice cream products,Food - Extraneous Material,14.0,Notification,Food - Dairy,Agropur Coopérative,Canadian Food Inspection Agency,"Hotels, restaurants and institutions
Retail","Hotels, restaurants and institutions",notification,"
14932
",,,,,,,,,,,,,,
0,2022-04-13,"
Certain Organic Blue Poppy Seeds recalled due to Salmonella
",,Organic blue poppy seeds,Food - Microbial Contamination - Salmonella,2.0,Notification,"Food - Nuts, grains, and seeds",Lennie Ciglen Distribution Inc.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions
Retail",General public,notification,"
14960
",,,,,,,,,,,,,,
0,2022-04-12,"
Intercity Packers Ltd. brand Oyster N/Shell Royal Miyagi Ow recalled due to norovirus
",Intercity Packers Ltd.,Oyster N/Shell Royal Miyagi Ow,Food - Microbial Contamination - Norovirus,2.0,Food recall warning,Food - Fish and seafood - Fresh,Intercity Packers Ltd.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 3,food recall warning,,,,,,,,,,,,,,,
0,2022-04-11,"
Certain Kinder brand chocolate products recalled due to possible Salmonella
",Kinder,Certain chocolate products,Food - Microbial Contamination - Salmonella,24.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Ferrero Canada Ltd.,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-11,"
Inari brand Organic Blue Poppy Seeds recalled due to Salmonella
",Inari,Organic Blue Poppy Seeds,Food - Microbial Contamination - Salmonella,2.0,Food recall warning,"Food - Nuts, grains, and seeds",Puresource Natural Products,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-11,"
Intercity Packers Ltd. brand Oyster N/Shell Royal Miyagi Ow recalled due to norovirus
",Intercity Packers Ltd.,Oyster N/Shell Royal Miyagi Ow,Food - Microbial Contamination - Norovirus,2.0,Food recall warning,Food - Fish and seafood - Fresh,Intercity Packers Ltd.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-11,"
Sunrise Meat & Sausage Ltd. brand Smokies recalled due to undeclared mustard and soy
",Sunrise Meat & Sausage Ltd.,Smokies,Food - Allergen - Mustard,4.0,Notification,Food - Meat and poultry - Processed,Sunrise Meat & Sausage Ltd.,Canadian Food Inspection Agency,Retail,Retail,notification,"
14920
",,,,,,,,,,,,,,
0,2022-04-11,"
Fresh Market Foods brand Beef Steak Nuggets and ""Pemeal"" Back Bacon Chunks recalled due to undeclared anchovy
",Fresh Market Foods,"Beef Steak Nuggets, ""Pemeal"" Back Bacon Chunks",Food - Allergen - Fish,3.0,Notification,Food - Meat and poultry - Processed,Fresh Market Foods,Canadian Food Inspection Agency,Retail,Retail,notification,"
14909
",,,,,,,,,,,,,,
0,2022-04-11,"
Genesis Food brand Organic Blue Poppy Seeds recalled due to Salmonella
",Genesis Food,Organic Blue Poppy Seeds,Food - Microbial Contamination - Salmonella,2.0,Notification,"Food - Nuts, grains, and seeds",Genesis Food,Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
14937
",,,,,,,,,,,,,,
0,2022-04-11,"
Beyond Meat brand Beyond Burger Plant-Based Burgers recalled due to pieces of wood
",Beyond Meat,Beyond Burger Plant-Based Burgers,Food - Extraneous Material,2.0,Notification,Food - Other,Aliments BVeggie Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
14915
",,,,,,,,,,,,,,
0,2022-04-08,"
Verstegen brand ""Mix Voor Nasi & Bami Goreng"" recalled due to Salmonella
",Verstegen,"""Mix Voor Nasi & Bami Goreng""",Food - Microbial Contamination - Salmonella,2.0,Food recall warning,Food - Herbs and spices,Global Reach Confections & More Inc.,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-06,"
Certain Kinder brand chocolate products recalled due to possible Salmonella
",Kinder,Certain chocolate products,Food - Microbial Contamination - Salmonella,11.0,Food recall warning,"Food - Candy, confectionary, snacks and sweeteners",Ferrero Canada Ltd.,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2022-04-06,"
Certain Union Bay Seafood Ltd. brand Pacific Oysters recalled due to norovirus
",Union Bay Seafood Ltd.,Certain Pacific Oysters,Food - Microbial Contamination - Norovirus,3.0,Food recall warning,Food - Fish and seafood - Fresh,Union Bay Seafood Ltd.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 3,food recall warning,,,,,,,,,,,,,,,
0,2022-04-05,"
Co-Op Clearview brand Artesian Water recalled due to possible yeast and mould
",Co-Op Clearview,Bottled water,Food - Microbial Contamination - Non harmful (quality or spoilage),2.0,Notification,Food - Beverages - Non-alcoholic,Canadian Gold Beverages (2012),Canadian Food Inspection Agency,Retail,Retail,notification,"
14902
",,,,,,,,,,,,,,
